0000492708,139,95
0001372708,139,95
0002252708,139,95
0003122708,139,95
0004002708,139,95
0004482708,139,95
0005362708,139,95
0005502708,139,95
0006242708,139,94
0007122708,139,93
0008002708,139,93
0008482708,139,93
0009362708,139,93
0010242708,139,93
0011132708,139,93
0012012708,139,93
0012492708,138,93
0013372708,138,93
0014252708,138,92
0015132708,138,92
0016012708,138,91
0016492708,138,91
0017362708,138,91
0018242708,138,91
0019122708,138,91
0020002708,138,91
0020482708,138,91
0021362708,138,90
0022242708,138,90
0023122708,138,90
0023222708,138,90
0024002708,138,91
0024172708,138,91
0024482708,138,91
0025362708,138,90
0026242708,138,90
0027132708,138,90
0027422708,138,90
0028012708,138,90
0028492708,138,90
0029372708,138,90
0030252708,138,90
0031132708,138,90
0032012708,138,90
0032482708,138,89
0033362708,138,88
0034242708,138,88
0035122708,138,88
0036002708,138,88
0036482708,138,88
0037362708,138,88
0038242708,138,88
0039122708,138,87
0040002708,138,87
0040482708,138,87
0041362708,138,87
0042252708,138,86
0043132708,138,86
0044012708,138,86
0044492708,138,86
0045372708,138,86
0046252708,138,86
0047122708,138,86
0047532708,138,86
0048002708,138,86
0048482708,138,86
0049362708,138,86
0050242708,137,86
0051122708,137,86
0052002708,137,86
0052482708,137,85
0053362708,137,86
0054242708,137,86
0055122708,137,86
0056002708,137,86
0056482708,137,86
0057362708,137,85
0058252708,137,86
0059132708,137,86
0100012708,137,86
0100492708,137,86
0101372708,137,86
0102242708,137,87
0103122708,137,87
0104002708,137,87
0104192708,137,87
0104482708,137,88
0105362708,137,87
0106242708,137,86
0107122708,136,86
0108002708,137,86
0108482708,137,87
0109362708,137,87
0110242708,137,88
0111122708,136,88
0112002708,136,88
0112482708,136,88
0113362708,136,88
0114252708,136,88
0115132708,136,89
0116012708,136,88
0116482708,136,89
0117362708,136,89
0118242708,136,89
0119122708,136,90
0120002708,136,90
0120482708,136,90
0121362708,136,90
0122242708,136,90
0123122708,136,90
0124002708,136,91
0124482708,136,91
0125362708,136,91
0126242708,136,91
0127122708,136,91
0128002708,136,92
0128482708,136,92
0129372708,136,93
0130252708,136,93
0131062708,136,93
0131122708,136,93
0132002708,136,93
0132482708,136,93
0133362708,136,94
0134242708,136,95
0135122708,136,94
0136002708,136,94
0136482708,136,94
0137362708,136,95
0138242708,136,95
0138452708,136,95
0139122708,136,96
0140002708,136,96
0140482708,136,97
0141062708,136,97
0141362708,136,98
0142242708,136,98
0143122708,136,98
0144002708,136,98
0144482708,136,99
0145372708,136,99
0146242708,136,100
0147122708,136,100
0148002708,136,100
0148482708,136,100
0149362708,136,100
0150242708,136,101
0151122708,136,101
0152002708,136,101
0152482708,136,101
0153362708,136,101
0154242708,136,101
0155122708,136,101
0156002708,136,101
0156482708,136,102
0157362708,136,102
0158242708,136,103
0159122708,136,103
0200002708,136,103
0200482708,136,103
0201362708,136,103
0202242708,136,103
0203122708,136,103
0204002708,136,103
0204482708,136,103
0205362708,136,103
0205592708,136,103
0206242708,136,103
0207122708,136,103
0208002708,136,103
0208482708,136,103
0209362708,136,103
