2022-07-16 23:53:04,P[W],DE[kWh],GE[kWh],PVu[V],DCBUS[V],PVi[A],ACu[V],ACi[A],f[Hz],T[C],iRCD[mA],S[VA],fi[]
2022-07-17 00:01:27,0,0.00,1156041.75,0.3,0.3,0.00,225.2,0.00,49.93,19.1,0.0,0,0.000
2022-07-17 00:01:38,0,0.00,1156041.75,0.3,0.3,0.00,225.5,0.00,49.93,19.1,0.0,0,0.000
2022-07-17 00:01:48,0,0.00,1156041.75,0.3,0.3,0.00,225.2,0.00,49.92,19.1,0.0,0,0.000
2022-07-17 00:01:58,0,0.00,1156041.75,0.3,0.3,0.00,224.8,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:02:08,0,0.00,1156041.75,0.3,0.3,0.00,225.1,0.00,49.90,19.1,0.0,0,0.000
2022-07-17 00:02:18,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:02:28,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:02:38,0,0.00,1156041.75,0.3,0.3,0.00,225.2,0.00,49.91,19.0,0.0,0,0.000
2022-07-17 00:02:48,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.92,19.1,0.0,0,0.000
2022-07-17 00:02:58,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.92,19.1,0.0,0,0.000
2022-07-17 00:03:08,0,0.00,1156041.75,0.3,0.3,0.00,225.2,0.00,49.91,19.0,0.0,0,0.000
2022-07-17 00:03:18,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:03:28,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:03:38,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.92,19.1,0.0,0,0.000
2022-07-17 00:03:49,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.92,19.1,0.0,0,0.000
2022-07-17 00:03:59,0,0.00,1156041.75,0.3,0.3,0.00,225.3,0.00,49.92,19.1,0.0,0,0.000
2022-07-17 00:04:09,0,0.00,1156041.75,0.3,0.3,0.00,225.0,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:04:19,0,0.00,1156041.75,0.3,0.3,0.00,225.2,0.00,49.90,19.1,0.0,0,0.000
2022-07-17 00:04:29,0,0.00,1156041.75,0.3,0.3,0.00,219.5,0.00,49.90,19.1,0.0,0,0.000
2022-07-17 00:04:39,0,0.00,1156041.75,0.3,0.3,0.00,219.8,0.00,49.90,19.1,0.0,0,0.000
2022-07-17 00:04:49,0,0.00,1156041.75,0.3,0.3,0.00,220.1,0.00,49.89,19.1,0.0,0,0.000
2022-07-17 00:04:59,0,0.00,1156041.75,0.3,0.3,0.00,225.7,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:05:09,0,0.00,1156041.75,0.3,0.3,0.00,225.2,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:05:19,0,0.00,1156041.75,0.3,0.3,0.00,225.2,0.00,49.91,19.1,0.0,0,0.000
2022-07-17 00:05:29,0,0.00,1156041.75,0.3,0.3,0.00,225.2,0.00,49.92,19.1,0.0,0,0.000
2022-07-17 00:05:39,0,0.00,1156041.75,0.3,0.3,0.00,225.0,0.00,49.93,19.1,0.0,0,0.000
2022-07-17 00:05:49,0,0.00,1156041.75,0.3,0.3,0.00,225.1,0.00,49.93,19.1,0.0,0,0.000
2022-07-17 00:06:00,0,0.00,1156041.75,0.3,0.3,0.00,224.9,0.00,49.93,19.1,0.0,0,0.000
2022-07-17 00:06:10,0,0.00,1156041.75,0.3,0.3,0.00,225.6,0.00,49.92,19.1,0.0,0,0.000
2022-07-17 00:06:20,0,0.00,1156041.75,0.3,0.3,0.00,225.8,0.00,49.93,19.1,0.0,0,0.000
2022-07-17 00:06:30,0,0.00,1156041.75,0.3,0.3,0.00,225.6,0.00,49.93,19.1,0.0,0,0.000
2022-07-17 00:06:40,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:06:50,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:07:00,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:07:10,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:07:20,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:07:30,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:07:40,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:07:50,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:08:00,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:08:10,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:08:20,0,0.00,1156041.75,0.3,0.3,0.00,226.8,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:08:30,0,0.00,1156041.75,0.3,0.3,0.00,221.1,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:08:41,0,0.00,1156041.75,0.3,0.3,0.00,220.9,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:08:51,0,0.00,1156041.75,0.3,0.3,0.00,226.1,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:09:01,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:09:11,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,49.93,19.1,0.0,0,0.000
2022-07-17 00:09:21,0,0.00,1156041.75,0.3,0.3,0.00,226.1,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:09:31,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,49.94,19.0,0.0,0,0.000
2022-07-17 00:09:41,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:09:51,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:10:01,0,0.00,1156041.75,0.3,0.3,0.00,226.6,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:10:11,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:10:21,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:10:31,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:10:41,0,0.00,1156041.75,0.3,0.3,0.00,226.8,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:10:51,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:11:01,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:11:12,0,0.00,1156041.75,0.3,0.3,0.00,226.8,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:11:22,0,0.00,1156041.75,0.3,0.3,0.00,226.8,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:11:32,0,0.00,1156041.75,0.3,0.3,0.00,226.6,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:11:42,0,0.00,1156041.75,0.3,0.3,0.00,226.8,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:11:52,0,0.00,1156041.75,0.3,0.3,0.00,226.8,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:12:02,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:12:12,0,0.00,1156041.75,0.3,0.3,0.00,226.8,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:12:22,0,0.00,1156041.75,0.3,0.3,0.00,227.0,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:12:32,0,0.00,1156041.75,0.3,0.3,0.00,220.9,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:12:42,0,0.00,1156041.75,0.3,0.3,0.00,221.0,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:12:52,0,0.00,1156041.75,0.3,0.3,0.00,226.6,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:13:02,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:13:13,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:13:23,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:13:33,0,0.00,1156041.75,0.3,0.3,0.00,226.1,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:13:43,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:13:53,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:14:03,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:14:13,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:14:23,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:14:33,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:14:43,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:14:53,0,0.00,1156041.75,0.3,0.3,0.00,226.1,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:15:03,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:15:14,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:15:24,0,0.00,1156041.75,0.3,0.3,0.00,225.8,0.00,49.94,19.1,0.0,0,0.000
2022-07-17 00:15:34,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,49.95,19.1,0.0,0,0.000
2022-07-17 00:15:44,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:15:54,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:16:04,0,0.00,1156041.75,0.3,0.3,0.00,226.1,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:16:14,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:16:24,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:16:34,0,0.00,1156041.75,0.3,0.3,0.00,221.0,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:16:44,0,0.00,1156041.75,0.3,0.2,0.00,226.2,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:16:54,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:17:04,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.96,19.1,0.0,0,0.000
2022-07-17 00:17:15,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:17:25,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:17:35,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:17:45,0,0.00,1156041.75,0.3,0.3,0.00,226.1,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:17:55,0,0.00,1156041.75,0.3,0.3,0.00,226.1,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:18:05,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:18:15,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:18:25,0,0.00,1156041.75,0.3,0.3,0.00,226.6,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:18:35,0,0.00,1156041.75,0.3,0.2,0.00,226.4,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:18:45,0,0.00,1156041.75,0.3,0.2,0.00,226.9,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:18:55,0,0.00,1156041.75,0.3,0.3,0.00,226.8,0.00,49.98,19.1,0.0,0,0.000
